"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 06 17:18:28 GMT 2022","Fri May 06 17:18:37 GMT 2022","9456","","","","LoginTest","ErrorMessage","ErrorMessage","Test1
"
"passed","Fri May 06 17:18:37 GMT 2022","Fri May 06 17:18:45 GMT 2022","7663","","","","LoginTest","ValidateLogin","ValidateLogin","Test2
"
